Gauge	PSMSL_ID	Short_Name	Lat	Lon	Long_Name	Region	Basin	Record_Start	Record_End	N_Obs	QA_YR1	QA_YR2	QA_Yrs	QA_frac	QA_Pass	Adj
326A	1703	Geti	6.22	102.1	Geting	Malaysia	Pacific	1986	2015	10957	1986	2015	30	0.96	TRUE	0.076014047
321A	248	Joho	1.45	103.78	Johor Baharu	Malaysia	Pacific	1983	2013	11323	1983	2013	31	0.92	TRUE	0.43106974
140A	1591	Kela	3.05	101.35	Kelang	Malaysia	Indian	1983	2015	12053	1983	2015	33	0.92	TRUE	0.185819377
141A	1593	Keli	2.2	102.15	Keling	Malaysia	Indian	1984	2015	11688	1984	2015	32	0.95	TRUE	0.147555085
322A	1589	Kuan	3.97	103.42	Kuantan	Malaysia	Pacific	1983	2015	12053	1983	2015	33	0.96	TRUE	0.0892507
325A	1677	Kuku	1.32	103.43	Kukup	Malaysia	Pacific	1985	2015	11322	1985	2015	31	0.95	TRUE	0.55528839
142A	1676	Lang	6.87	99.77	Langkawi	Malaysia	Indian	1985	2017	12053	1985	2017	33	0.92	TRUE	0.014445332
143A	1594	Lumu	4.23	100.6	Lumut	Malaysia	Indian	1984	2015	11688	1984	2015	32	0.94	TRUE	0.122612507
144A	1595	Pena	5.42	100.33	Penang	Malaysia	Indian	1984	2015	11688	1984	2015	32	0.94	TRUE	0.109930722
324A	1702	Sedi	1.92	104.1	Sedili	Malaysia	Pacific	1986	2015	10957	1986	2015	30	0.95	TRUE	0.005959191
323A	1678	Tiom	2.8	104.13	Tioman	Malaysia	Pacific	1985	2015	11322	1985	2015	31	0.94	TRUE	0.035516472
103C	477	Port	-20.15	57.48	Port Louis-C	Mauritius	Indian	1986	2017	11688	1986	2017	32	0.96	TRUE	-0.010326937
105A	1672	Rodr	-19.67	63.42	Rodrigues	Mauritius	Indian	1986	2017	11688	1986	2017	32	0.94	TRUE	0.013472399
316A	686	Acap	16.83	-99.9	"Acapulco-A,Gro."	Mexico	Pacific	1952	1995	16071	1952	1995	44	0.9	TRUE	0.016104252
034A	1355	Cabo	22.87	-109.9	Cabo San Lucas	Mexico	Pacific	1973	2003	11322	1973	2002	30	0.82	TRUE	0.023753671
317A	795	Ense	31.85	-116.63	Ensenada	Mexico	Pacific	1956	1991	13149	1956	1991	36	0.82	TRUE	0.019147816
397A	693	Guay	27.93	-110.9	Guaymas	Mexico	Pacific	1953	1986	12418	1953	1986	34	0.81	TRUE	0.022578076
395A	737	Manz	19.05	-104.32	Manzanillo-A	Mexico	Pacific	1953	1982	10957	1953	1982	30	0.94	TRUE	0.017754688
394A	689	Sali	16.15	-95.2	Salina Cruz	Mexico	Pacific	1952	1991	14610	1952	1983	32	0.8	TRUE	0.014676323
GESLA_0681	24	Delf	53.326	6.933	Delfzijl	Netherlands	Atlantic	1971	2014	16071	1971	2014	44	1	TRUE	-0.388015721
GESLA_0330	23	Den-	52.965	4.746	Den Helder	Netherlands	Atlantic	1971	2014	16071	1971	2014	44	1	TRUE	0.074368203
GESLA_0928	22	Hoek	51.977	4.12	Hoek van Holland	Netherlands	Atlantic	1971	2014	16071	1971	2014	44	1	TRUE	0.085866799
GESLA_0891	852	Noum	-22.292	166.437	Noumea	New Caledonia	Atlantic	1967	1998	11629	1967	1998	32	0.99	TRUE	0.033940713
398A	1065	Mars	-35.83	174.5	Marsden Point	New Zealand	Pacific	1975	2018	16071	1975	2018	44	0.82	TRUE	0.061704603
668A	1750	Napi	-39.48	176.92	Napier	New Zealand	Pacific	1989	2018	10957	1989	2018	30	0.85	TRUE	0.015578709
076A	996	Tara	-39.05	174.03	Taranaki	New Zealand	Pacific	1955	2018	23376	1955	2018	64	0.84	TRUE	0.009877404
073A	1590	Taur	-37.65	176.18	Tauranga	New Zealand	Pacific	1984	2018	12784	1984	2018	35	0.88	TRUE	-0.03477281
071A	221	Well	-41.28	174.78	Wellington	New Zealand	Pacific	1944	2018	27394	1944	2018	75	0.96	TRUE	0.089005787
GESLA_0470	313	Heim	63.425	9.101	Heimsjoe	Norway	Atlantic	1970	2015	16309	1970	2015	46	0.99	TRUE	0.051519464
GESLA_1015	1267	Honn	70.98	25.973	Honningsvaag	Norway	Atlantic	1970	2015	15477	1970	2015	46	0.94	TRUE	-0.044221325
GESLA_1207	486	Maal	61.934	5.113	Maaloey	Norway	Atlantic	1970	2015	15819	1970	2015	46	0.96	TRUE	0.080837321
823A	1421	Ny-A	78.93	11.95	Ny-Alesund	Norway	Atlantic	1976	2014	14245	1976	2014	39	0.9	TRUE	0.013726807
GESLA_0911	62	Oslo	59.909	10.734	Oslo	Norway	Atlantic	1970	2015	15699	1970	2015	46	0.95	TRUE	0.112448225
803A	1241	Rorv	64.87	11.25	Rorvik	Norway	Atlantic	1969	2014	16801	1969	2014	46	0.95	TRUE	0.002258659
804A	302	Treg	58	7.57	Tregde	Norway	Atlantic	1927	2008	29951	1927	2008	82	0.93	TRUE	0.058007433
805A	524	Vard	70.33	31.1	Vardo	Norway	Atlantic	1947	2014	24837	1979	2014	36	0.82	TRUE	0.031824899
302A	163	Balb	8.95	-79.57	Balboa	Panama	Pacific	1907	2018	40908	1907	2018	112	0.98	TRUE	-0.022646238
266A	169	Cris	9.35	-79.9	Cristobal	Panama	Atlantic	1907	2017	40543	1907	2017	111	0.92	TRUE	-0.123235053
010A	1164	Raba	-4.2	152.17	Rabaul	Papua New Guinea	Pacific	1966	1997	11688	1966	1997	32	0.84	TRUE	0.017052287
093B	1274	Call	-12.07	-77.17	Callao-B	Peru	Pacific	1970	2017	17532	1970	2017	48	0.96	TRUE	0.021692186
084A	1552	Lobo	-6.93	-80.72	Lobos de Afuera	Peru	Pacific	1982	2016	12784	1982	2016	35	0.87	TRUE	0.001468138
